Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00       62     0.00     0.00  primary_expression_no_constants
  0.00      0.01     0.00       58     0.00     0.00  array_append
  0.00      0.01     0.00       56     0.00     0.00  tuple_print
  0.00      0.01     0.00       55     0.00     0.05  jump_statement
  0.00      0.01     0.00       54     0.00     0.21  statement_list1
  0.00      0.01     0.00       51     0.00     0.00  instruction_str
  0.00      0.01     0.00       51     0.00     0.00  string_copy_range
  0.00      0.01     0.00       50     0.00     0.32  create_array
  0.00      0.01     0.00       50     0.00     0.11  function_argument_list1
  0.00      0.01     0.00       40     0.00     1.27  create_function
  0.00      0.01     0.00       29     0.00     0.41  memory_graph_array_join
  0.00      0.01     0.00       29     0.00     0.57  string_add
  0.00      0.01     0.00       22     0.00     0.00  value_negate
  0.00      0.01     0.00       21     0.00     0.00  append
  0.00      0.01     0.00       21     0.00     0.00  codegen_assignment
  0.00      0.01     0.00       21     0.00     0.00  map_delete
  0.00      0.01     0.00       20     0.00     0.00  map_create
  0.00      0.01     0.00       20     0.00     0.00  noop_instruction
  0.00      0.01     0.00       17     0.00     0.00  create_float
  0.00      0.01     0.00       15     0.00     1.74  create_method
  0.00      0.01     0.00       12     0.00     0.00  array_print
  0.00      0.01     0.00       12     0.00     0.12  operator_neq
  0.00      0.01     0.00       11     0.00     0.00  codegen_tuple
  0.00      0.01     0.00       11     0.00     0.12  operator_gt
  0.00      0.01     0.00       10     0.00     0.95  class_fill
  0.00      0.01     0.00        9     0.00     0.00  queue_init
  0.00      0.01     0.00        9     0.00     0.00  set_create
  0.00      0.01     0.00        9     0.00     0.00  set_delete
  0.00      0.01     0.00        8     0.00     0.00  codegen_anon_function
  0.00      0.01     0.00        8     0.00     0.00  memory_graph_print
  0.00      0.01     0.00        8     0.00     0.00  operator_div
  0.00      0.01     0.00        8     0.00     0.12  operator_eq
  0.00      0.01     0.00        8     0.00     0.00  queue_remove_last
  0.00      0.01     0.00        8     0.00     0.00  write_anon_label
  0.00      0.01     0.00        8     0.00     0.00  write_ins_anon
  0.00      0.01     0.00        7     0.00     0.12  operator_gte
  0.00      0.01     0.00        6     0.00     0.00  codegen_function_args
  0.00      0.01     0.00        6     0.00     0.00  resize_table
  0.00      0.01     0.00        6     0.00     0.04  unary_expression
  0.00      0.01     0.00        5     0.00     0.16  class_statement
  0.00      0.01     0.00        5     0.00     0.00  codegen_function
  0.00      0.01     0.00        5     0.00     0.00  compound_statement
  0.00      0.01     0.00        5     0.00     0.06  field_statement
  0.00      0.01     0.00        5     0.00     0.00  file_fn
  0.00      0.01     0.00        5     0.00     0.00  file_info_delete
  0.00      0.01     0.00        5     0.00     0.04  function_definition
  0.00      0.01     0.00        5     0.00     0.00  queue_deep_delete
  0.00      0.01     0.00        5     0.00     0.00  write_label
  0.00      0.01     0.00        4     0.00     0.96  create_module
  0.00      0.01     0.00        4     0.00     0.23  create_obj_unsafe
  0.00      0.01     0.00        4     0.00     0.00  expando__
  0.00      0.01     0.00        4     0.00     0.00  expando_delete
  0.00      0.01     0.00        4     0.00     0.00  file_info_file
  0.00      0.01     0.00        4     0.00    96.71  load_fn
  0.00      0.01     0.00        4     0.00     0.00  module_classes
  0.00      0.01     0.00        4     0.00    72.48  module_create_file
  0.00      0.01     0.00        4     0.00     0.00  module_delete
  0.00      0.01     0.00        4     0.00    22.75  module_load
  0.00      0.01     0.00        4     0.00     0.00  module_refs
  0.00      0.01     0.00        4     0.00     0.00  operator_mult
  0.00      0.01     0.00        4     0.00     0.00  queue_shallow_delete
  0.00      0.01     0.00        4     0.00    72.43  tokenize
  0.00      0.01     0.00        3     0.00     0.00  codegen_assignment_ext
  0.00      0.01     0.00        3     0.00     0.00  codegen_if
  0.00      0.01     0.00        3     0.00     0.04  file_info_set_name
  0.00      0.01     0.00        3     0.00    72.57  module_create
  0.00      0.01     0.00        3     0.00     1.56  vm_add_module
  0.00      0.01     0.00        2     0.00     0.00  assignment_expression
  0.00      0.01     0.00        2     0.00     0.44  call_new
  0.00      0.01     0.00        2     0.00     1.43  class_create
  0.00      0.01     0.00        2     0.00     0.00  class_definition
  0.00      0.01     0.00        2     0.00     0.59  class_statement_list
  0.00      0.01     0.00        2     0.00     0.00  codegen_for
  0.00      0.01     0.00        2     0.00     0.00  codegen_import
  0.00      0.01     0.00        2     0.00     0.12  operator_or
  0.00      0.01     0.00        1     0.00     0.00  alloc_finalize
  0.00      0.01     0.00        1     0.00     0.00  alloc_init
  0.00      0.01     0.00        1     0.00    11.24  class_init
  0.00      0.01     0.00        1     0.00     0.89  class_statement_list1
  0.00      0.01     0.00        1     0.00     0.00  codegen_class
  0.00      0.01     0.00        1     0.00     0.12  element_not
  0.00      0.01     0.00        1     0.00     0.05  file_info
  0.00      0.01     0.00        1     0.00     5.56  file_level_statement_list
  0.00      0.01     0.00        1     0.00     5.32  file_level_statement_list1
  0.00      0.01     0.00        1     0.00     0.00  map_create_default
  0.00      0.01     0.00        1     0.00     0.00  memory_graph_create
  0.00      0.01     0.00        1     0.00     0.15  memory_graph_create_root_element
  0.00      0.01     0.00        1     0.00     0.00  memory_graph_delete
  0.00      0.01     0.00        1     0.00     5.56  parse_file
  0.00      0.01     0.00        1     0.00     0.00  set_init_default
  0.00      0.01     0.00        1     0.00     0.00  strings_finalize
  0.00      0.01     0.00        1     0.00     0.00  strings_init
  0.00      0.01     0.00        1     0.00     1.65  strings_insert_constants
  0.00      0.01     0.00        1     0.00    98.32  vm_add_builtin
  0.00      0.01     0.00        1     0.00   112.73  vm_create
  0.00      0.01     0.00        1     0.00     0.09  vm_delete
  0.00      0.01     0.00        1     0.00     0.36  vm_set_module
  0.00      0.01     0.00        1     0.00     0.00  write_class
  0.00      0.01     0.00        1     0.00     0.00  write_endclass

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 100.00% of 0.01 seconds

index % time    self  children    called     name
                0.00    0.00     696/8151        map_insert [14]
                0.01    0.00    7455/8151        map_lookup [2]
[1]    100.0    0.01    0.00    8151         string_hasher [1]
-----------------------------------------------
                0.00    0.00       1/214071      class_statement_list [118]
                0.00    0.00       1/214071      __fn__.4831 [127]
                0.00    0.00       2/214071      __fn__.4991 [139]
                0.00    0.00       2/214071      __fn__.4955 [134]
                0.00    0.00       2/214071      file_level_statement_list [97]
                0.00    0.00       3/214071      __fn__.3621 [15]
                0.00    0.00       3/214071      __fn__.4518 [122]
                0.00    0.00       3/214071      __fn__.4098 [126]
                0.00    0.00       4/214071      class_statement_list1 [121]
                0.00    0.00       5/214071      field_statement [130]
                0.00    0.00       5/214071      function_definition [133]
                0.00    0.00       5/214071      class_statement [125]
                0.00    0.00       6/214071      unary_expression [131]
                0.00    0.00       6/214071      __fn__.4176 [128]
                0.00    0.00      10/214071      __fn__.4685 [110]
                0.00    0.00      24/214071      memory_graph_array_set [91]
                0.00    0.00      33/214071      strings_insert_constants [112]
                0.00    0.00      55/214071      jump_statement [108]
                0.00    0.00     100/214071      memory_graph_tuple_add [70]
                0.00    0.00     104/214071      obj_to_str <cycle 1> [102]
                0.00    0.00     108/214071      statement_list [77]
                0.00    0.00     110/214071      statement_list1 [88]
                0.00    0.00     122/214071      file_level_statement_list1 [99]
                0.00    0.00     128/214071      function_argument_list1 [96]
                0.00    0.00     130/214071      function_argument_list [89]
                0.00    0.00     232/214071      expression_statement [62]
                0.00    0.00     272/214071      append_child_edges.2852 [83]
                0.00    0.00     301/214071      __fn__.5059 [78]
                0.00    0.00     404/214071      __fn__.5031 [59]
                0.00    0.00     586/214071      memory_graph_array_push [58]
                0.00    0.00     586/214071      memory_graph_array_pop [67]
                0.00    0.00     728/214071      module_instruction [49]
                0.00    0.00     983/214071      __fn__.3661 [24]
                0.00    0.00    1048/214071      assignment_tuple [68]
                0.00    0.00    1068/214071      __fn__.3937 [41]
                0.00    0.00    1185/214071      tuple_expression1 [60]
                0.00    0.00    1424/214071      tuple_expression [42]
                0.00    0.00    1691/214071      equality_expression1 [55]
                0.00    0.00    1691/214071      and_expression1 [56]
                0.00    0.00    1691/214071      xor_expression1 [57]
                0.00    0.00    1691/214071      or_expression1 [46]
                0.00    0.00    1697/214071      relational_expression1 [53]
                0.00    0.00    1793/214071      additive_expression1 <cycle 3> [52]
                0.00    0.00    1793/214071      multiplicative_expression1 [51]
                0.00    0.00    1922/214071      memory_graph_array_dequeue [33]
                0.00    0.00    1934/214071      memory_graph_array_enqueue [28]
                0.00    0.00    1951/214071      or_expression [9]
                0.00    0.00    2003/214071      relational_expression [21]
                0.00    0.00    2003/214071      equality_expression [17]
                0.00    0.00    2003/214071      and_expression [13]
                0.00    0.00    2003/214071      xor_expression [10]
                0.00    0.00    2054/214071      anon_function [45]
                0.00    0.00    2105/214071      additive_expression <cycle 3> [29]
                0.00    0.00    3152/214071      __fn__.3212 [43]
                0.00    0.00    4210/214071      multiplicative_expression [38]
                0.00    0.00    4383/214071      postfix_expression1 [37]
                0.00    0.00    4670/214071      __fn__.3182 [23]
                0.00    0.00    6773/214071      __fn__.3015 [32]
                0.00    0.00    7422/214071      strings_intern [31]
                0.00    0.00   12787/214071      __fn__.2961 [20]
                0.00    0.00   12852/214071      memory_graph_set_field [7]
                0.00    0.00   22356/214071      obj_set_field [12]
                0.00    0.00   95652/214071      obj_get_field [5]
[2]     91.9    0.00    0.01  214071         map_lookup [2]
                0.01    0.00    7455/8151        string_hasher [1]
                0.00    0.00    6759/7455        string_comparator [64]
                0.00    0.00  188340/193657      default_hasher [146]
                0.00    0.00  180659/181877      default_comparator [147]
                0.00    0.00   18276/24016       node_edge_hasher [150]
                0.00    0.00   12536/19027       node_edge_comparator [152]
-----------------------------------------------
                                                 <spontaneous>
[3]     69.0    0.00    0.01                 main [3]
                0.00    0.01       1/1           vm_maybe_initialize_and_execute <cycle 4> [69]
                0.00    0.00       3/4           load_fn [26]
                0.00    0.00       1/1           vm_create [44]
                0.00    0.00       3/3           vm_add_module [100]
                0.00    0.00       1/1           strings_insert_constants [112]
                0.00    0.00       1/1           vm_set_module [129]
                0.00    0.00       1/1           vm_delete [138]
                0.00    0.00       3/4           module_delete [141]
                0.00    0.00       1/1           alloc_finalize [142]
                0.00    0.00       1/1           alloc_init [265]
                0.00    0.00       1/1           strings_init [271]
                0.00    0.00       1/1           strings_finalize [270]
-----------------------------------------------
[4]     64.9    0.00    0.01       1+14828   <cycle 4 as a whole> [4]
                0.00    0.00    7814             execute <cycle 4> [6]
                0.00    0.00    3826             execute_no_param <cycle 4> [11]
                0.00    0.00    2608             execute_id_param <cycle 4> [16]
                0.00    0.00     289             call_fn <cycle 4> [18]
                0.00    0.00     290             vm_maybe_initialize_and_execute <cycle 4> [69]
                0.00    0.00       2             call_new <cycle 4> [123]
-----------------------------------------------
                0.00    0.00       1/95652       vm_set_module [129]
                0.00    0.00       1/95652       vm_delete [138]
                0.00    0.00       2/95652       call_new <cycle 4> [123]
                0.00    0.00       6/95652       add_class.3140 [109]
                0.00    0.00      29/95652       memory_graph_array_join [86]
                0.00    0.00      82/95652       memory_graph_array_set [91]
                0.00    0.00     274/95652       memory_graph_tuple_add [70]
                0.00    0.00     297/95652       memory_graph_array_push [58]
                0.00    0.00     297/95652       memory_graph_array_pop [67]
                0.00    0.00     539/95652       execute_val_param [27]
                0.00    0.00     596/95652       vm_maybe_initialize_and_execute <cycle 4> [69]
                0.00    0.00     609/95652       vm_object_lookup [74]
                0.00    0.00     625/95652       inherits_from [73]
                0.00    0.00    1156/95652       call_fn <cycle 4> [18]
                0.00    0.00    1758/95652       vm_new_block [22]
                0.00    0.00    2444/95652       memory_graph_array_dequeue [33]
                0.00    0.00    2482/95652       memory_graph_array_enqueue [28]
                0.00    0.00    2768/95652       execute_no_param <cycle 4> [11]
                0.00    0.00    3339/95652       execute_id_param <cycle 4> [16]
                0.00    0.00    6325/95652       vm_lookup [36]
                0.00    0.00   16451/95652       memory_graph_set_field [7]
                0.00    0.00   24315/95652       vm_shift_ip [8]
                0.00    0.00   31256/95652       execute <cycle 4> [6]
[5]     41.1    0.00    0.00   95652         obj_get_field [5]
                0.00    0.00   95652/214071      map_lookup [2]
-----------------------------------------------
                                7814             vm_maybe_initialize_and_execute <cycle 4> [69]
[6]     40.0    0.00    0.00    7814         execute <cycle 4> [6]
                0.00    0.00    7814/8105        vm_shift_ip [8]
                0.00    0.00   31256/95652       obj_get_field [5]
                0.00    0.00    1278/1278        execute_val_param [27]
                0.00    0.00     102/102         execute_str_param [63]
                0.00    0.00    7814/7814        module_ins [158]
                                3826             execute_no_param <cycle 4> [11]
                                2608             execute_id_param <cycle 4> [16]
-----------------------------------------------
                0.00    0.00       1/16451       call_new <cycle 4> [123]
                0.00    0.00       2/16451       class_create [107]
                0.00    0.00       2/16451       add_class.3155 [105]
                0.00    0.00       2/16451       add_ref.3136 [113]
                0.00    0.00       2/16451       vm_set_module [129]
                0.00    0.00       3/16451       vm_add_builtin [47]
                0.00    0.00       4/16451       create_obj_unsafe [120]
                0.00    0.00       4/16451       create_module [104]
                0.00    0.00       8/16451       add_method.3159 [87]
                0.00    0.00       9/16451       class_init [90]
                0.00    0.00       9/16451       vm_add_module [100]
                0.00    0.00      11/16451       vm_create [44]
                0.00    0.00      12/16451       add_class.3140 [109]
                0.00    0.00      15/16451       add_method.3144 [72]
                0.00    0.00      16/16451       add_ref.3152 [76]
                0.00    0.00      20/16451       vm_maybe_initialize_and_execute <cycle 4> [69]
                0.00    0.00      29/16451       string_add [82]
                0.00    0.00      30/16451       class_fill [92]
                0.00    0.00      37/16451       execute_str_param [63]
                0.00    0.00      45/16451       create_method [75]
                0.00    0.00     117/16451       create_tuple [61]
                0.00    0.00     120/16451       create_function [66]
                0.00    0.00     156/16451       string_create [54]
                0.00    0.00     784/16451       execute_val_param [27]
                0.00    0.00     867/16451       call_fn <cycle 4> [18]
                0.00    0.00     875/16451       create_obj_of_class [40]
                0.00    0.00    1363/16451       execute_no_param <cycle 4> [11]
                0.00    0.00    1465/16451       vm_new_block [22]
                0.00    0.00    2338/16451       execute_id_param <cycle 4> [16]
                0.00    0.00    8105/16451       vm_shift_ip [8]
[7]     25.8    0.00    0.00   16451         memory_graph_set_field [7]
                0.00    0.00   16451/22356       obj_set_field [12]
                0.00    0.00   16451/95652       obj_get_field [5]
                0.00    0.00   12852/214071      map_lookup [2]
                0.00    0.00    4826/7800        set_insert [19]
                0.00    0.00    3171/11079       map_insert [14]
                0.00    0.00   12852/26436       set_lookup [149]
-----------------------------------------------
                0.00    0.00     291/8105        execute_val_param [27]
                0.00    0.00    7814/8105        execute <cycle 4> [6]
[8]     23.2    0.00    0.00    8105         vm_shift_ip [8]
                0.00    0.00    8105/16451       memory_graph_set_field [7]
                0.00    0.00   24315/95652       obj_get_field [5]
                0.00    0.00    8105/14895       create_int [154]
-----------------------------------------------
                0.00    0.00     977/2928        __fn__.3661 [24]
                0.00    0.00    1951/2928        __fn__.3621 [15]
[9]     12.0    0.00    0.00    2928         or_expression [9]
                0.00    0.00    1951/2003        xor_expression [10]
                0.00    0.00    1661/1661        or_expression1 [46]
                0.00    0.00    1951/214071      map_lookup [2]
                0.00    0.00       1/11079       map_insert [14]
                0.00    0.00    1661/20321       match_merge [151]
-----------------------------------------------
                0.00    0.00      52/2003        or_expression1 [46]
                0.00    0.00    1951/2003        or_expression [9]
[10]    10.4    0.00    0.00    2003         xor_expression [10]
                0.00    0.00    2003/2003        and_expression [13]
                0.00    0.00    2003/214071      map_lookup [2]
                0.00    0.00    1691/1691        xor_expression1 [57]
                0.00    0.00       1/11079       map_insert [14]
                0.00    0.00    1691/20321       match_merge [151]
-----------------------------------------------
                                3826             execute <cycle 4> [6]
[11]    10.1    0.00    0.00    3826         execute_no_param <cycle 4> [11]
                0.00    0.00    2314/2482        memory_graph_array_enqueue [28]
                0.00    0.00    1982/2444        memory_graph_array_dequeue [33]
                0.00    0.00    1363/16451       memory_graph_set_field [7]
                0.00    0.00    2768/95652       obj_get_field [5]
                0.00    0.00     289/297         memory_graph_array_pop [67]
                0.00    0.00     144/2177        vm_lookup [36]
                0.00    0.00      29/29          string_add [82]
                0.00    0.00      99/99          operator_lt [85]
                0.00    0.00      82/82          memory_graph_array_set [91]
                0.00    0.00      72/72          operator_lte [93]
                0.00    0.00      65/145         element_false [80]
                0.00    0.00       9/50          create_array [84]
                0.00    0.00      12/12          operator_neq [114]
                0.00    0.00      11/11          operator_gt [115]
                0.00    0.00       8/8           operator_eq [119]
                0.00    0.00       7/7           operator_gte [124]
                0.00    0.00       7/146         element_true [79]
                0.00    0.00       2/2           operator_or [132]
                0.00    0.00       1/1           element_not [137]
                0.00    0.00      31/2198        obj_to_str <cycle 1> [102]
                0.00    0.00     155/155         operator_add [210]
                0.00    0.00     151/6330        array_size [161]
                0.00    0.00     151/439         array_get [195]
                0.00    0.00     147/147         operator_sub [213]
                0.00    0.00      65/197         elt_to_str [209]
                0.00    0.00       8/8           operator_div [240]
                0.00    0.00       4/4           operator_mult [257]
                                 144             call_fn <cycle 4> [18]
                                   1             call_new <cycle 4> [123]
-----------------------------------------------
                0.00    0.00      29/22356       memory_graph_array_join [86]
                0.00    0.00      82/22356       memory_graph_array_set [91]
                0.00    0.00     274/22356       memory_graph_tuple_add [70]
                0.00    0.00     297/22356       memory_graph_array_push [58]
                0.00    0.00     297/22356       memory_graph_array_pop [67]
                0.00    0.00    2444/22356       memory_graph_array_dequeue [33]
                0.00    0.00    2482/22356       memory_graph_array_enqueue [28]
                0.00    0.00   16451/22356       memory_graph_set_field [7]
[12]     9.6    0.00    0.00   22356         obj_set_field [12]
                0.00    0.00   22356/214071      map_lookup [2]
-----------------------------------------------
                0.00    0.00    2003/2003        xor_expression [10]
[13]     8.8    0.00    0.00    2003         and_expression [13]
                0.00    0.00    2003/2003        equality_expression [17]
                0.00    0.00    2003/214071      map_lookup [2]
                0.00    0.00    1691/1691        and_expression1 [56]
                0.00    0.00       1/11079       map_insert [14]
                0.00    0.00    1691/20321       match_merge [151]
-----------------------------------------------
                0.00    0.00       1/11079       __fn__.4955 [134]
                0.00    0.00       1/11079       function_argument_list1 [96]
                0.00    0.00       1/11079       function_argument_list [89]
                0.00    0.00       1/11079       field_statement [130]
                0.00    0.00       1/11079       assignment_tuple [68]
                0.00    0.00       1/11079       __fn__.3212 [43]
                0.00    0.00       1/11079       multiplicative_expression [38]
                0.00    0.00       1/11079       additive_expression <cycle 3> [29]
